metric,semantic,complexity,n,accuracy,ci_lo,ci_hi
object_count,rel,low,10866,0.5378244064053009,0.5284499740819106,0.5471988387286912
object_count,rel,medium,23401,0.5054912183240032,0.4990852811528119,0.5118971554951945
object_count,rel,high,27367,0.4806153396426353,0.4746958284143186,0.486534850870952
object_count,attr,low,8905,0.5924761370016844,0.58227024277079,0.6026820312325789
object_count,attr,medium,16780,0.5848629320619786,0.57740732693174,0.5923185371922172
object_count,attr,high,16516,0.5676919350932429,0.5601365489506033,0.5752473212358825
object_count,obj,low,2988,0.5327978580990629,0.5149083078446428,0.550687408353483
object_count,obj,medium,5863,0.5565410199556541,0.5438244073599188,0.5692576325513894
object_count,obj,high,6713,0.5849843587069864,0.5731973906316686,0.5967713267823042
object_count,cat,low,2546,0.6131186174391202,0.5942000590736526,0.6320371758045878
object_count,cat,medium,3584,0.5725446428571429,0.556348107227001,0.5887411784872848
object_count,cat,high,2486,0.5108608205953339,0.4912103464981385,0.5305112946925293
object_count,global,low,904,0.6084070796460177,0.5765880888201899,0.6402260704718455
object_count,global,medium,1573,0.5568976478067387,0.5323487821318157,0.5814465134816617
object_count,global,high,1568,0.5420918367346939,0.5174309511192757,0.566752722350112
rel_density,rel,low,9071,0.5233160621761658,0.513037655915928,0.5335944684364036
rel_density,rel,medium,22021,0.5097407020571273,0.5031379478781012,0.5163434562361534
rel_density,rel,high,30541,0.48636259454503783,0.4807569849234391,0.49196820416663656
rel_density,attr,low,9105,0.5969247666117518,0.5868492122050024,0.6070003210185011
rel_density,attr,medium,15694,0.5818784248757487,0.5741612798233127,0.5895955699281847
rel_density,attr,high,17129,0.5680425010216592,0.5606242591207187,0.5754607429225997
rel_density,obj,low,3204,0.548689138576779,0.5314581223234042,0.5659201548301539
rel_density,obj,medium,5676,0.5560253699788583,0.5430994560760779,0.5689512838816387
rel_density,obj,high,6585,0.5790432801822324,0.5671184440989627,0.590968116265502
rel_density,cat,low,2211,0.6218905472636815,0.6016777022813096,0.6421033922460535
rel_density,cat,medium,3374,0.5687611144042679,0.5520499220570261,0.5854723067515097
rel_density,cat,high,2938,0.5217835262083049,0.503720620130364,0.5398464322862458
rel_density,global,low,1109,0.5653742110009017,0.536198863222088,0.5945495587797154
rel_density,global,medium,1469,0.5602450646698435,0.5348622631239436,0.5856278662157434
rel_density,global,high,1421,0.5594651653764954,0.5336523315610242,0.5852779991919665
